Time,CAN1_TCM_TST_MSG_112_70h_tmpCltActTC_t4
1186.956373137,147.0
1189.517109367,147.0
1192.072151047,147.0
1194.632340654,147.0
1197.187344826,147.0
1199.747633031,146.0
1202.307985509,146.0
1204.862916105,146.0
1207.423349419,146.0
1209.978571601,146.0
1212.538848794,146.0
1215.093944937,146.0
1217.654178401,146.0
1220.209701657,146.0
1222.769754785,146.0
1225.330301654,146.0
1227.884850548,146.0
1230.445304286,146.0
1233.000697605,146.0
1235.561032725,146.0
1238.116114381,146.0
1240.676127915,145.0
1243.231895696,145.0
1245.791863708,145.0
1248.352315513,145.0
1250.907115042,145.0
1253.467163407,145.0
1256.022964428,145.0
1258.583437064,145.0
1261.138126874,145.0
1263.698310407,145.0
1266.253763284,145.0
1268.814123707,145.0
1271.374077749,145.0
1273.929349931,145.0
1276.48931093,145.0
1279.04515356,145.0
1281.605399763,145.0
