Time,CAN2_TCM_C03_InShaftSpd_Cval_PT_t5
524.978059429,1003.84
524.988074831,1013.12
524.998074342,1006.72
525.008061869,1015.0400000000001
525.018080379,1012.64
525.02807189,1012.0
525.038038791,1009.76
525.048103804,1012.64
525.058109705,1018.72
525.06805559,1007.84
525.078061367,1014.24
525.088061252,1007.36
525.098097014,1004.32
525.108108291,1012.0
525.118112677,1017.6
525.128084313,1010.24
525.138047338,1011.36
525.148089349,1007.0400000000001
525.158131878,1009.44
525.168097512,1013.12
525.178094039,1018.72
525.188059549,1007.36
525.198082061,1015.36
525.208076712,1015.36
525.218064473,1028.32
525.228066499,1013.12
525.238094386,1028.0
525.248083037,1016.32
525.258127423,1031.2
525.268052308,1007.0400000000001
525.278087585,1029.92
525.288063221,1014.24
525.298096248,1035.52
525.308084634,1017.6
525.318185037,1032.0
525.328077421,1006.24
525.338055556,1033.1200000000001
525.348094584,1012.64
525.358128595,1029.1200000000001
525.368089606,1001.44
525.378091507,1028.8
525.388071893,1007.84
525.398089919,1026.72
525.408097806,1001.44
525.418094332,1028.8
525.428108093,1010.24
525.438078728,1034.72
525.448101255,1001.44
525.458140767,1029.92
525.468118293,1005.44
525.478135555,1033.1200000000001
525.48807708,1004.64
525.498138467,1034.4
525.508113227,1014.72
525.518108254,1035.2
525.52830191,1008.32
525.538105791,1032.8
525.548117802,1019.0400000000001
525.558281833,1034.4
525.568091214,1028.32
525.578110601,1029.92
525.588113377,1024.32
525.598119138,1032.8
525.608160541,1035.52
525.618102425,1028.32
525.628097186,1029.92
525.638092712,1032.8
525.648115724,1039.52
525.658151751,1029.92
525.668095261,1044.48
525.678116147,1034.72
525.688084424,1048.0
525.698157692,1030.24
525.708110598,1048.8
525.718116866,1023.52
525.728095022,1051.68
525.73810979,1031.2
525.748126932,1053.28
525.75816584,1025.6
525.76810648,1052.48
525.778124388,1021.9200000000001
525.788098779,1048.0
525.798121313,1020.0
525.808106578,1048.0
525.81830124,1019.52
525.828362134,1046.08
525.838343541,1025.92
525.848129911,1044.0
525.858188946,1042.72
525.868105835,1042.08
525.878137868,1029.1200000000001
525.888110009,1040.48
525.898181793,1045.1200000000001
525.908345205,1042.72
525.918162952,1052.48
525.928324863,1035.2
525.938165516,1050.08
525.948373038,1044.48
525.9581768,1055.68
525.968147332,1034.72
525.978141973,1061.28
525.988125115,1037.1200000000001
525.998154647,1061.28
526.008149539,1029.1200000000001
526.018114446,1053.28
526.028133088,1030.24
526.038141121,1057.6
526.048138512,1030.72
526.058133779,1053.6
526.068131186,1038.72
526.078124203,1054.08
526.088111719,1051.68
526.098153628,1050.4
526.10818041,1061.28
526.118132051,1049.6
526.128147568,1056.96
526.138119475,1050.72
526.148139117,1065.28
526.158147134,1048.48
526.168135166,1069.28
526.178149448,1039.2
526.18812509,1063.68
526.198147482,1036.8
526.208144139,1065.28
526.218149531,1036.8
526.228149923,1064.0
526.23815958,1046.72
526.248150972,1065.6
526.258150379,1039.2
526.268147146,1062.88
526.278156678,1059.3600000000001
526.28812757,1068.48
526.298166337,1068.96
526.308188496,1065.28
526.318328031,1075.84
526.328147918,1058.88
526.33813931,1078.56
526.348149842,1048.8
