Time,CAN2_CPC_C12_HiResAccelPdlPosn_Cval_t7
132.066489044,0.0
132.076497132,0.0
132.086491734,0.0
132.096490931,0.0
132.106493143,0.0
132.11649284,0.0
132.12649685,0.0
132.136486546,0.0
132.146504743,0.0
132.156492142,0.0
132.166489542,0.0
132.176488551,0.0
132.186493248,0.0
132.196491241,0.0
132.206490344,0.0
132.216488947,0.0
132.22649755,0.0
132.236489247,0.0
132.246493459,0.0
132.256487953,0.0
132.266491055,0.0
132.276489753,0.0
132.286494465,0.0
132.296486458,0.0
132.306489655,0.0
132.316489867,0.0
132.326492158,0.0
132.336490167,0.0
132.346501567,0.0
132.356490669,0.0
132.366487366,0.0
132.376486563,0.0
132.386490572,0.0
132.396490769,0.0
132.406487778,0.0
132.416487381,0.0
132.426491077,0.0
132.436490275,0.0
132.446492581,0.0
132.456487777,0.0
132.466488881,0.0
132.476489686,0.0
132.486487774,0.0
132.496490579,0.0
132.50648748,0.0
132.516490191,0.0
132.526490982,0.0
132.536487179,0.0
132.546502985,0.0
132.556490588,0.0
132.566487191,0.0
132.576486497,0.0
132.586489084,0.0
132.596490593,0.0
132.606489291,0.0
132.61648869,0.0
132.626495184,0.0
132.636492896,0.0
132.646487702,0.0
132.656491695,0.0
132.666486798,0.0
132.676490792,0.0
132.686488801,0.0
132.696488904,0.0
132.706490694,0.0
132.716493095,0.0
132.7264939,0.0
132.736491707,0.0
132.746501404,0.0
132.756494912,0.0
132.766488609,0.0
132.776491009,0.0
132.786499706,0.0
132.796503106,0.0
132.806656134,0.0
132.816493906,0.0
132.826503305,0.0
132.836501518,0.0
132.846507324,0.0
132.856513021,0.0
132.866491828,0.0
132.876490822,0.0
132.886491128,0.0
132.896487919,0.0
132.906491929,0.0
132.916498923,0.0
132.926494339,0.0
132.936490239,0.0
132.946496936,0.0
132.956491836,0.0
132.96648594,0.0
132.976495137,0.0
132.986489834,0.0
132.99649064,0.0
133.006488041,0.0
133.016488253,0.0
133.026495154,0.0
133.036495741,0.0
133.046489548,0.0
133.056494057,0.0
133.066489958,0.0
133.076500952,0.0
133.086492555,0.0
133.096489549,0.0
133.106488762,0.0
133.116492068,0.0
133.126494359,0.0
133.136492166,0.0
