Time,CAN2_TCM_C02_Clutch_Cval_PT_t3,CAN2_TCM_C02_Clutch_Stat_TCM_PT_t3
56.383816162,82.0,2.0
56.393756274,82.80000000000001,2.0
56.403838016,82.80000000000001,2.0
56.413762361,83.60000000000001,2.0
56.423857603,84.0,2.0
56.433785465,84.80000000000001,2.0
56.44380708,85.2,2.0
56.453820553,86.0,2.0
56.463809791,86.4,2.0
56.473798405,87.2,2.0
56.483810645,88.80000000000001,2.0
56.493779883,88.80000000000001,2.0
56.503871999,88.80000000000001,2.0
56.513775594,88.80000000000001,2.0
56.524452399,88.4,2.0
56.533824324,88.4,2.0
56.543824938,88.80000000000001,2.0
56.553814285,89.60000000000001,2.0
56.563819774,90.4,2.0
56.573814388,90.80000000000001,2.0
56.583823612,91.60000000000001,2.0
56.593786724,92.4,2.0
56.60384884,92.80000000000001,2.0
56.613788699,93.60000000000001,2.0
56.623886313,94.0,2.0
56.633808656,93.60000000000001,2.0
56.643825518,94.80000000000001,2.0
56.653833504,95.60000000000001,2.0
56.663831864,95.60000000000001,2.0
56.6738101,95.2,2.0
56.683828321,96.0,2.0
56.693781055,96.4,2.0
56.703859543,96.4,2.0
56.713796262,97.2,2.0
56.723904516,96.80000000000001,2.0
56.733801609,97.2,2.0
56.743848596,98.0,2.0
56.753844332,98.4,2.0
56.763860318,98.80000000000001,2.0
56.773846039,98.80000000000001,2.0
56.783843274,99.2,2.0
56.793820509,99.60000000000001,2.0
56.803869622,99.60000000000001,2.0
56.813841092,100.0,2.0
56.823909344,100.0,2.0
56.833824938,99.60000000000001,2.0
56.843846674,99.60000000000001,2.0
56.853848285,99.60000000000001,2.0
56.863874006,99.60000000000001,2.0
56.873837366,99.2,2.0
56.883847852,99.2,2.0
56.893813696,98.4,2.0
56.903871825,98.0,2.0
56.913805043,98.4,2.0
56.923913282,96.80000000000001,2.0
56.933813515,96.4,2.0
56.943856861,96.4,2.0
56.953859348,96.4,2.0
56.963857459,96.0,2.0
56.97385582,96.0,2.0
56.983864806,95.60000000000001,2.0
56.993821899,95.60000000000001,2.0
57.003902638,95.2,2.0
57.013827372,95.60000000000001,2.0
57.023924611,95.60000000000001,2.0
57.033838094,95.60000000000001,2.0
57.04386769,95.60000000000001,2.0
57.053865801,95.60000000000001,2.0
57.063871412,95.60000000000001,2.0
57.073856882,96.0,2.0
57.083870118,96.0,2.0
57.093828602,94.80000000000001,2.0
57.103911342,95.60000000000001,2.0
57.113830575,95.60000000000001,2.0
57.123923063,95.60000000000001,2.0
57.133830781,95.60000000000001,2.0
57.143908269,95.60000000000001,2.0
57.15388588,95.60000000000001,2.0
57.163872615,95.60000000000001,2.0
57.17386646,94.80000000000001,2.0
57.183883696,95.2,2.0
57.193851181,95.2,2.0
57.203930545,95.60000000000001,2.0
57.213847262,95.2,2.0
57.223923375,95.60000000000001,2.0
57.233856484,95.60000000000001,2.0
57.243905597,95.60000000000001,2.0
57.253891942,95.60000000000001,2.0
57.263912694,95.2,2.0
57.273898664,95.60000000000001,2.0
57.28391015,95.60000000000001,2.0
57.293847384,95.60000000000001,2.0
57.303939623,95.60000000000001,2.0
57.31384584,95.60000000000001,2.0
57.32397258,95.60000000000001,2.0
57.333849297,95.60000000000001,2.0
57.3439103,95.2,2.0
57.353887645,95.2,2.0
57.363892881,95.60000000000001,2.0
57.373892116,95.60000000000001,2.0
57.383894477,95.2,2.0
57.393855947,95.60000000000001,2.0
57.40392431,95.2,2.0
57.413862419,95.60000000000001,2.0
57.423970783,95.60000000000001,2.0
57.43386625,95.2,2.0
57.443907237,95.2,2.0
57.453893848,95.60000000000001,2.0
57.463913959,95.60000000000001,2.0
57.47391157,95.60000000000001,2.0
57.483918416,95.2,2.0
57.493877151,96.0,2.0
57.503954264,96.0,2.0
57.513880356,95.2,2.0
57.523969236,95.2,2.0
57.533879704,95.60000000000001,2.0
57.543914566,95.60000000000001,2.0
57.553914676,95.60000000000001,2.0
57.563911896,95.2,2.0
57.573909383,95.2,2.0
57.583916244,95.2,2.0
