Time,Clutch_Pedal_Travel,Clutch housing Temp,EngTrq_Cval_PT,EngSpd_Cval_PT,HiResAccelPdlPosn_Cval,VehSpd_Cval_PT,InShaft_RPM
125.99,2.535213232,90.17537689,0.200000003,599.039978,0,0,610.4896851
126,2.535732985,90.06549835,-0.800000012,600.1599731,0,0,595.9667969
126.01,2.534974337,90.02024841,-2.599999905,601.1199951,0,0,589.7475586
126.02,2.535864115,90.18048859,-3.599999905,601.9199829,0,0,603.4025879
126.03,2.536683798,90.27527618,-3.200000048,601.5999756,0,0,599.2969971
126.04,2.535300255,90.1709137,-2.200000048,600.7999878,0,0,585.9309082
126.05,2.534869432,90.061203,-0.600000024,599.6799927,0,0,600.7144165
126.06,2.536431313,89.98797607,0.200000003,599.039978,0,0,605.5281372
126.07,2.533838749,90.12203979,0.200000003,599.039978,0,0,586.8831177
126.08,2.532078266,90.26093292,-0.200000003,599.3599854,0,0,593.8161621
126.09,2.53257513,90.18359375,-0.400000006,599.6799927,0,0,608.1304321
126.1,2.533291101,90.04361725,-0.800000012,599.8400269,0,0,593.7141113
126.11,2.533895254,90.04737091,-0.800000012,599.8400269,0,0,588.4214478
126.12,2.534241915,90.27397919,-1.600000024,600.3200073,0,0,602.8675537
126.13,2.534071445,90.26044464,-0.800000012,599.8400269,0,0,597.9015503
126.14,2.533141851,90.02010345,-0.400000006,599.3599854,0,0,583.8441772
126.15,2.532008886,90.00456238,1.200000048,598.4000244,0,0,602.0742798
126.16,2.533008814,90.10523224,1.799999952,598.0800171,0,0,606.5999146
126.17,2.532278776,90.19709778,1.200000048,598.5599976,0,0,586.1116333
126.18,2.532735348,90.14150238,0.200000003,599.3599854,0,0,595.9987183
126.19,2.532898664,89.98218536,-1.200000048,600.3200073,0,0,612.6685791
126.2,2.531672716,89.96083069,-2.400000095,601.1199951,0,0,597.6867065
126.21,2.531783581,90.07103729,-4,602.4000244,0,0,588.6519165
126.22,2.532253265,90.22068787,-4.800000191,603.039978,0,0,603.9751587
126.23,2.532339811,90.1908493,-4.400000095,602.5599976,0,0,600.7428589
126.24,2.532601118,90.06536102,-3,601.4400024,0,0,583.8389893
126.25,2.532486677,90.01870728,-1,600.1599731,0,0,600.1190796
126.26,2.533247709,90.04531097,-0.400000006,599.6799927,0,0,607.1564941
126.27,2.532693148,90.20493317,-0.400000006,599.6799927,0,0,585.8751221
126.28,2.530127525,90.22506714,-0.800000012,599.8400269,0,0,591.2905884
126.29,2.53112936,90.06428528,-0.800000012,599.8400269,0,0,605.8313599
126.3,2.531293869,89.99072266,-0.200000003,599.3599854,0,0,591.4389648
126.31,2.530755758,90.08921051,1.399999976,598.4000244,0,0,585.3567505
126.32,2.532813549,90.26013947,2.400000095,597.5999756,0,0,599.6959839
126.33,2.533572435,90.16699982,3.599999905,596.7999878,0,0,598.3659058
126.34,2.533872843,90.04917145,4.599999905,596.3200073,0,0,580.2283325
126.35,2.534011841,90.16766357,5.599999905,595.6799927,0,0,599.7468872
126.36,2.530221224,90.22764587,5.199999809,596.1599731,0,0,606.399231
126.37,2.531712532,90.22650909,3.599999905,597.1199951,0,0,588.2668457
126.38,2.533434391,90.12405396,1.600000024,598.5599976,0,0,593.6994629
126.39,2.531177759,90.01337433,-0.200000003,600.1599731,0,0,611.6622314
126.4,2.53106761,90.13331604,-2,601.1199951,0,0,597.5039673
126.41,2.530710697,90.28061676,-3.200000048,601.9199829,0,0,588.3694458
126.42,2.531119823,90.2437439,-4,602.5599976,0,0,604.8204956
126.43,2.531712055,90.06584167,-4,602.4000244,0,0,602.6349487
126.44,2.532255173,90.06952667,-2.599999905,601.4400024,0,0,584.677124
126.45,2.531618118,90.23900604,-1.200000048,600.3200073,0,0,598.1407471
126.46,2.532484531,90.25086975,-0.600000024,600.1599731,0,0,609.6159058
126.47,2.530522823,90.19927979,-0.600000024,600.1599731,0,0,587.0127563
126.48,2.534430742,90.09482574,-1,600.3200073,0,0,591.9646606
126.49,2.533653498,89.96363831,-1,600.3200073,0,0,610.5457153
126.5,2.528162003,90.02502441,-1,600.3200073,0,0,594.977356
126.51,2.528561831,90.2141037,-1,600.3200073,0,0,583.9569092
126.52,2.529839277,90.22956085,-1,600.3200073,0,0,604.4034424
126.53,2.530689955,90.00256348,-0.400000006,599.8400269,0,0,601.9820557
126.54,2.529718637,89.9666748,0,599.6799927,0,0,582.4909058
126.55,2.530369282,90.17559052,0.800000012,598.8800049,0,0,602.3237915
126.56,2.527765989,90.27410889,0.600000024,599.039978,0,0,610.0643921
126.57,2.530054092,90.1833725,-0.400000006,599.8400269,0,0,586.0944824
126.58,2.521658421,89.9697876,-1.600000024,600.7999878,0,0,597.4356079
126.59,2.608441114,89.92658234,-3,601.5999756,0,0,619.0396729
126.6,3.020897865,90.0778656,-4,602.5599976,0,0,595.2460938
126.61,3.507439852,90.22823334,-5.800000191,603.8400269,0,0,590.25
126.62,4.236820698,90.26454926,-7.199999809,604.6400146,0,0,605.736084
126.63,5.803040981,90.00812531,-7,604.3200073,0,0,605.2144165
126.64,7.927074909,89.90854645,-5.199999809,603.039978,0,0,584.1404419
126.65,10.25930405,90.14009094,-3.799999952,602.0800171,0,0,600.8021851
126.66,12.54083729,90.21284485,-2.599999905,601.4400024,0,0,610.5137939
126.67,14.35770798,90.1389389,-2.400000095,601.1199951,0,0,584.697876
126.68,15.6908884,89.98999786,-2.200000048,600.7999878,0,0,591.6964111
126.69,16.7673111,89.92784882,-2,600.6400146,0,0,611.7781372
126.7,17.71809578,90.09039307,-1.200000048,600.1599731,0,0,587.4737549
126.71,18.10744286,90.16143799,-0.600000024,599.6799927,0,0,583.815918
126.72,18.28898621,90.08879089,0.200000003,599.039978,0,0,604.3930664
126.73,18.91001511,89.9851532,1.200000048,598.4000244,0,0,598.5012207
126.74,20.03995514,90.02404785,2.200000048,597.5999756,0,0,575.789856
126.75,21.45003128,90.22520447,3.799999952,596.6400146,0,0,604.3757935
126.76,22.97524452,90.2193985,4.199999809,596.6400146,0,0,609.871521
126.77,24.43065262,90.02957153,3.400000095,597.1199951,0,0,579.7255859
126.78,25.90741158,89.96601868,2,598.0800171,0,0,596.1428833
126.79,27.63748932,90.09497833,0.600000024,599.039978,0,0,614.8257446
126.8,29.0534935,90.21469879,-0.600000024,600.1599731,0,0,591.2966309
126.81,29.52993393,90.1546402,-2.200000048,601.1199951,0,0,584.4891357
126.82,29.72187996,90.01633453,-3,601.5999756,0,0,605.6495972
126.83,29.93601036,89.95224762,-2.599999905,601.1199951,0,0,600.765625
126.84,30.13961792,90.09898376,-0.600000024,599.8400269,0,0,576.913269
126.85,30.7091713,90.21508789,1.200000048,598.4000244,0,0,602.6122437
126.86,31.47351646,90.06807709,2.799999952,597.5999756,0,0,608.6814575
126.87,32.59921265,89.99212646,3,597.5999756,0,0,580.4284058
